assetName	diseaseName	level	group	description	patientDialogue	askSymptoms	pulseSymptoms	correctHerbs	requiredHerbs
ThatMienTamTyHu	Thất miên (Tâm tỳ lưỡng hư)	2	TamMach	Tâm tỳ hư yếu, khí huyết sinh hóa không đủ làm thần trí thiếu nuôi dưỡng.	Tôi mất ngủ cả tháng nay, nằm xuống là mơ màng dễ tỉnh, người mệt rũ ra, sắc mặt thì nhợt nhạt.	Mất ngủ, ngủ mơ màng.|Dễ giật mình tỉnh giấc.	Người mệt mỏi.|Sắc mặt nhợt nhạt.	Bạch truật|Toan táo nhân|Long nhãn|Đảng sâm	Bạch truật:6|Toan táo nhân:5|Long nhãn:3|Đảng sâm:2
DauThongNoiThuong	Đầu thống (Nội thương)	2	TamMach	Khí huyết hư hoặc can thận suy khiến não khiếu thiếu nuôi dưỡng, đau đầu kéo dài.	Đầu tôi cứ đau ê ẩm âm ỉ suốt mấy tuần nay không dứt, hễ hôm nào làm lụng mệt mỏi là đau tăng lên.	Đau đầu âm ỉ lâu ngày.|Đau ê ẩm khắp đầu.	Đau tăng khi mệt mỏi.	Đương quy|Bạch thược|Xuyên khung|Đảng sâm	Đương quy:6|Bạch thược:5|Xuyên khung:3|Đảng sâm:2
UatChung	Uất chứng	2	TamMach	Can khí uất kết, khí cơ không thông làm tinh thần u uất và ngực họng bế tắc.	Tâm trạng tôi lúc nào cũng u uất, lồng ngực bí bách hay thở dài, cổ họng như có cục gì vướng nuốt không trôi.	Tâm trạng u uất, hay thở dài.|Ngực sườn đầy tức.	Cổ họng vướng dị vật khạc không ra.	Hương phụ|Uất kim|Bán hạ chế|Trần bì	Hương phụ:6|Uất kim:5|Bán hạ chế:3|Trần bì:2
TruongDocNgoDocSon	Trương độc (Ngộ độc sơn)	2	NgoaiKhoa	Độc tà từ nhựa cây phạm vào da, làm nhiệt độc uất ở bì phu sinh sưng ngứa bỏng rát.	Tôi đi rừng lỡ quệt phải nhựa cây sơn, giờ da sưng phồng đỏ rực lên, nổi bọng nước ngứa rát như bỏng lửa.	Da sưng phồng đỏ rực.|Nổi bọng nước lớn.	Ngứa rát như bỏng lửa.	Thổ phục linh|Kim ngân hoa|Sài đất|Cam thảo	Thổ phục linh:6|Kim ngân hoa:5|Sài đất:3|Cam thảo:2
DaiHaBenhKhiHuBanG	Đái hạ bệnh (Khí hư bạch đới)	2	ThanKinh	Tỳ hư thấp trệ, thấp tà dồn xuống hạ tiêu khiến đới mạch mất điều hòa.	Vùng kín của tôi dạo này ra rất nhiều dịch nhầy màu trắng đục dính như váng sữa, hôi và ngứa ngáy lắm.	Dịch âm đạo ra nhiều trắng đục.|Mùi hôi khó chịu.	Ngứa ngáy vùng kín bứt rứt.	Bạch truật|Hoài sơn|Thổ phục linh|Bạch thược	Bạch truật:6|Hoài sơn:5|Thổ phục linh:3|Bạch thược:2
KhaiThauPheAmHu	Khái thấu (Phế âm hư)	2	HoHap	Phế âm hao tổn, phế mất nhuận dưỡng khiến hư nhiệt nung phế và sinh ho khan.	Tôi bị ho khan kéo dài không có đờm, người cứ sốt hâm hấp về chiều, hai gò má đỏ rực lên.	Ho khan không đờm lâu ngày.|Sốt hâm hấp về chiều.	Gò má đỏ rực.|Đờm dính sợi máu.	Mạch môn|Sa sâm|Bách bộ|Bạch thược	Mạch môn:6|Sa sâm:5|Bách bộ:3|Bạch thược:2
HaoSuyenHenSuyen	Hao suyễn (Hen suyễn)	2	HoHap	Đàm khí uất ở phế, phế khí nghịch lên làm hô hấp khó thông và sinh suyễn.	Ngực tôi tức nghẹn không thở nổi, hơi thở dốc kéo khò khè như kéo cưa, đêm đến không thể nằm ngửa.	Thở dốc khò khè như kéo cưa.|Ngực tức khó thở.	Không thể nằm ngửa phải ngồi thở.	Tang bạch bì|Bán hạ chế|Hậu phác|Trần bì	Tang bạch bì:6|Bán hạ chế:5|Hậu phác:3|Trần bì:2
TyPheKhiHu	Tỳ phế khí hư	2	HoHap	Tỳ phế khí hư, tỳ không vận hóa thủy thấp và phế khí yếu nên ho đờm kéo dài.	Tôi ho yếu ớt không ra hơi, đờm trắng loãng dễ khạc, người mệt mỏi ăn kém, đi ngoài hay bị lỏng phân.	Ho yếu ớt nhỏ tiếng.|Đờm trắng dễ khạc.	Ăn kém mệt mỏi.|Đại tiện lỏng.	Đảng sâm|Bạch truật|Trần bì|Hoài sơn	Đảng sâm:6|Bạch truật:5|Trần bì:3|Hoài sơn:2
PheKhiHu	Phế khí hư	2	HoHap	Phế khí suy yếu, vệ biểu không bền khiến hơi thở ngắn và dễ cảm tà.	Tôi cứ thở ngắn hồng hộc, lười nói chuyện vì mệt, mồ hôi tự chảy suốt và rất dễ bị cảm lạnh khi gặp gió.	Thở ngắn, lười nói.|Dễ tự ra mồ hôi.	Rất dễ bị cảm lạnh khi gặp gió.	Đảng sâm|Cam thảo|Hoài sơn|Bạch truật	Đảng sâm:6|Cam thảo:5|Hoài sơn:3|Bạch truật:2
DamAnTamPhe	Đàm ẩm tẩm phế	2	HoHap	Đàm ẩm lưu ở phế, cản trở phế khí tuyên giáng và làm ngực bụng bứt rứt.	Tôi ho liên tục và khạc ra lượng đờm lỏng trắng nhiều vô kể, trong ngực lúc nào cũng bứt rứt buồn nôn.	Ho khạc rất nhiều đờm lỏng trắng.|Trong ngực bứt rứt.	Hay có cảm giác buồn nôn ách cổ.	Bán hạ chế|Trần bì|Phục linh|Chỉ thực	Bán hạ chế:6|Trần bì:5|Phục linh:3|Chỉ thực:2
TienBiKhiHuBi	Tiện bí (Khí hư bí)	2	TieuHoa	Khí hư không đủ lực đẩy, đại trường truyền tống yếu nên đi ngoài khó dù phân không khô.	Tôi đi ngoài phân không cứng lắm nhưng rặn không ra, cố rặn xong là mồ hôi đầm đìa, người mệt lả ra.	Phân không khô cứng nhưng khó đi.|Không có sức để rặn ra ngoài.	Rặn xong mồ hôi đầm đìa mệt lả.	Đảng sâm|Bạch truật|Cam thảo|Đương quy	Đảng sâm:6|Bạch truật:5|Cam thảo:3|Đương quy:2
TyHuHaHam	Tỳ hư hạ hãm	2	TieuHoa	Trung khí hư hạ hãm, tạng phủ không được nâng đỡ nên sinh sa trệ xuống dưới.	Tôi bị lòi dom sa trực tràng xuống dưới, ăn xong là bụng trĩu nặng xuống, người mệt mỏi hụt hơi vô cùng.	Sa trực tràng (lòi dom) ra ngoài.|Ăn xong bụng trĩu nặng đi xuống.	Người mệt mỏi hụt hơi lười nói.	Đảng sâm|Bạch truật|Thăng ma|Cam thảo	Đảng sâm:6|Bạch truật:5|Thăng ma:3|Cam thảo:2
UngNhotUng	Ung nhọt (Ung)	2	NgoaiKhoa	Nhiệt độc tụ ở cơ nhục, khí huyết ứ trệ tạo thành khối sưng đỏ hóa mủ.	Trên đùi tôi mọc một khối sưng to đỏ rực, sưng nóng rát dữ dội đau nhức buốt sâu vào trong thịt.	Khối sưng to đỏ rực trên da.|Sưng nóng rát dữ dội nhức nhối.	Đau buốt sâu đang hóa mủ.	Kim ngân hoa|Liên kiều|Bồ công anh|Cam thảo	Kim ngân hoa:6|Liên kiều:5|Bồ công anh:3|Cam thảo:2
PheUngApXePhoi	Phế ung (Áp xe phổi)	2	HoHap	Nhiệt độc ủ trong phế, phế lạc bị tổn thương và đờm mủ tích lại trong phế.	Tôi bị sốt cao, ngực đau nhói như dao đâm, mỗi lần ho là khạc ra đờm mủ đặc mùi hôi thối như thịt thối.	Sốt cao, ngực đau nhói như dao đâm.|Ho khạc ra đờm mủ đặc quánh.	Mùi đờm hôi thối nồng nặc tanh tưởi.	Ngư tinh thảo|Kim ngân hoa|Bồ công anh|Cát cánh	Ngư tinh thảo:6|Kim ngân hoa:5|Bồ công anh:3|Cát cánh:2
PheLaoLaoPhoi	Phế lao (Lao phổi nặng)	2	HoHap	Phế âm hao tổn lâu ngày, hư hỏa nung phế làm phế lạc tổn thương và suy kiệt.	Tôi ho ròng rã nửa năm nay người gầy rộc trơ xương, vừa nãy ho mạnh khạc ra cả ngụm máu tươi đỏ lịm.	Ho kéo dài nửa năm, gầy trơ xương.|Khạc ra cả ngụm máu tươi đỏ lịm.	Sốt hâm hấp, mồ hôi trộm đầm đìa.	Bách bộ|Mạch môn|Sa sâm|Thục địa	Bách bộ:6|Mạch môn:5|Sa sâm:3|Thục địa:2
DienChungTamThanTram	Điên chứng	2	TamMach	Đàm khí uất kết che lấp tâm thần, làm thần trí trì trệ và tinh thần u uất.	Dạo này tôi thấy tinh thần u uất lầm lỳ, suốt ngày ngồi một mình tự nói lẩm bẩm, ngơ ngác chẳng muốn ăn uống.	Tinh thần u uất, lầm lỳ không nói năng.|Suốt ngày ngồi xó nhà tự nói một mình.	Mắt ngơ ngác, không ăn uống tiếp xúc.	Xương bồ|Uất kim|Phục linh|Trần bì	Xương bồ:6|Uất kim:5|Phục linh:3|Trần bì:2
NguocTatSotRet	Ngược tật (Sốt rét)	2	HoHap	Tà khí ẩn phục ở bán biểu bán lý, chính tà giao tranh theo chu kỳ gây cơn rét sốt.	Cứ đến chiều là tôi lên cơn rét run cầm cập đánh lập cập răng, sau đó sốt nóng rực như lửa rồi vã mồ hôi mới hạ.	Lên cơn rét run cầm cập đánh lập cập răng.|Sốt nóng rực như lửa ngay sau cơn rét.	Vã mồ hôi đầm đìa rồi tự hạ sốt theo chu kỳ.	Bạc hà|Nhân trần|Hương phụ|Trần bì	Bạc hà:6|Nhân trần:5|Hương phụ:3|Trần bì:2
DinhSangMunDinhRau	Đinh sang (Mụn đinh râu)	2	NgoaiKhoa	Nhiệt độc sâu ở bì nhục, độc tà kết lại thành mụn chân cứng và dễ lan nhanh.	Tôi mọc cái mụn nhỏ ở môi mà chân nó sâu cứng ngắc, đau buốt thấu xương sưng tấy lan ra khắp mặt, sốt đùng đùng.	Mụn nhỏ mọc ở mặt chân sâu cứng ngắc.|Đau buốt thấu xương sưng tấy lan nhanh.	Phát sốt cao đùng đùng mê sảng.	Kim ngân hoa|Bồ công anh|Sài đất|Liên kiều	Kim ngân hoa:6|Bồ công anh:5|Sài đất:3|Liên kiều:2
HoaDonSungHach	Hỏa đơn	2	NgoaiKhoa	Nhiệt độc bùng phát ở bì phu, khí huyết uất trệ làm da đỏ nóng lan thành mảng.	Một mảng da chân tôi tự dung sưng đỏ rực lên như lửa cháy, sờ vào nóng bừng tấy đau, người sốt mê sảng.	Da sưng đỏ rực một mảng lớn như lửa cháy.|Vùng da tổn thương nóng bừng tấy đau dữ dội.	Người phát sốt cao đùng đùng mê sảng.	Kim ngân hoa|Liên kiều|Sài đất|Đại hoàng	Kim ngân hoa:6|Liên kiều:5|Sài đất:3|Đại hoàng:2
TienBiNhietBi	Tiện bí (Nhiệt bí)	3	TieuHoa	Nhiệt tích ở trường vị làm tân dịch hao tổn, đại tiện khô kết khó thông.	Mấy ngày nay tôi không đi ngoài được, bụng ấm ách, miệng đắng chát, người nóng bừng.	Táo bón nhiều ngày.|Bụng ấm ách.	Phân khô cứng như phân dê.|Miệng hôi.	Đại hoàng|Chi tử|Cam thảo|Chỉ thực|Hậu phác	Đại hoàng:7|Chi tử:6|Cam thảo:5|Chỉ thực:3|Hậu phác:2
NhaThongPhongHoa	Nha thống (Phong hỏa)	3	TieuHoa	Phong hỏa hoặc vị hỏa bốc lên răng lợi, làm kinh lạc vùng miệng sưng đau.	Răng tôi nhức buốt thấu xương, vùng lợi sưng đỏ mọng lên, một bên má sưng vù rồi.	Đau răng nhức buốt.|Má sưng to.	Lợi sưng đỏ mọng.	Bạc hà|Kim ngân hoa|Khổ sâm|Liên kiều|Chi tử	Bạc hà:7|Kim ngân hoa:6|Khổ sâm:5|Liên kiều:3|Chi tử:2
TietTaThapNhiet	Tiết tả thấp nhiệt	3	TieuHoa	Thấp nhiệt uất ở trường vị, làm thanh trọc lẫn lộn và đại trường mất truyền đạo.	Bụng tôi đau quặn, đi ngoài liên tục ra phân khắm thối nồng nặc, cái hậu môn nóng rát như lửa.	Phân khắm thối nồng nặc.|Hậu môn nóng rát.	Mót rặn đi ngoài nhiều lần.	Mộc hương|Khổ sâm|Nhân trần|Bạch truật|Phục linh	Mộc hương:7|Khổ sâm:6|Nhân trần:5|Bạch truật:3|Phục linh:2
KhiHuyetLuongHu	Khí huyết lưỡng hư	3	TamMach	Khí huyết cùng hư, tạng phủ và kinh lạc thiếu nuôi dưỡng nên cơ thể suy yếu.	Người tôi yếu lắm, sắc mặt trắng bệch, đi lại tí là hụt hơi lười nói, đầu óc hoa mắt tai ù liên tục.	Sắc mặt bệch úa.|Hụt hơi lười nói.	Hoa mắt tai ù.|Móng tay nhợt tái.	Đảng sâm|Đương quy|Thục địa|Bạch thược|Cam thảo	Đảng sâm:7|Đương quy:6|Thục địa:5|Bạch thược:3|Cam thảo:2
DaoHanMoHoiTrom	Đạo hãn (Mồ hôi trộm)	3	TamMach	Âm hư không giữ được dương, hư nhiệt bốc trong làm tân dịch thoát ra khi ngủ.	Đêm ngủ mồ hôi tôi cứ tự chảy ra đầm đìa ướt sũng lưng áo, nhưng cứ tỉnh giấc mở mắt ra là nó lại ngừng.	Mồ hôi chảy đầm đìa khi ngủ.|Ướt sũng lưng áo.	Tỉnh giấc thì mồ hôi tự ngưng.	Toan táo nhân|Sơn thù du|Mạch môn|Thục địa|Phục linh	Toan táo nhân:7|Sơn thù du:6|Mạch môn:5|Thục địa:3|Phục linh:2
HauBoiDauVaiGay	Hậu bối (Đau vai gáy)	3	ThanKinh	Phong hàn thấp trở trệ kinh lạc vùng cổ vai gáy, khí huyết không thông gây co cứng.	Hôm qua nằm ngủ trúng gió lạnh, sáng ra vùng cổ vai gáy của tôi cứng đờ, không tài nào xoay đầu được.	Cổ vai gáy cứng đờ.|Xoay đầu khó khăn.	Đau lan xuống bả vai.	Độc hoạt|Khương hoạt|Kinh giới|Phòng phong|Đương quy	Độc hoạt:7|Khương hoạt:6|Kinh giới:5|Phòng phong:3|Đương quy:2
TyChungHanhTy	Tý chứng (Hành tý)	3	ThanKinh	Phong tà thắng trong chứng tý, khiến đau nhức di chuyển giữa các khớp.	Các khớp xương của tôi đau nhức lắm, mà lạ là hôm nay đau ở khớp gối, hôm sau lại chạy lên khớp cổ tay.	Đau nhức các khớp xương.|Vị trí đau di chuyển chạy khớp.	Sợ gió lạnh.	Khương hoạt|Phòng phong|Đương quy|Xuyên khung|Bạch thược	Khương hoạt:7|Phòng phong:6|Đương quy:5|Xuyên khung:3|Bạch thược:2
YeuThongThanHu	Yêu thống (Thận hư)	3	ThanKinh	Can thận hư yếu, gân xương thiếu nuôi dưỡng làm thắt lưng gối đau mỏi lâu ngày.	Vùng thắt lưng của tôi cứ đau âm ỉ rã rời dai dẳng, hai đầu gối thì yếu mỏi, hễ nằm nghỉ ngơi thì đỡ.	Đau thắt lưng âm ỉ kéo dài.|Hai đầu gối yếu mỏi.	Nằm nghỉ ngơi thì đỡ đau.	Đỗ trọng|Tục đoạn|Thục địa|Sơn thù du|Hoài sơn	Đỗ trọng:7|Tục đoạn:6|Thục địa:5|Sơn thù du:3|Hoài sơn:2
ThapChanCham	Thấp chẩn (Chàm/Eczema)	3	NgoaiKhoa	Thấp nhiệt uất ở da, phong tà kích thích bì phu sinh mụn nước và ngứa rỉ dịch.	Khắp vùng da tay tôi sưng đỏ, nổi mụn nước li ti thành đám ngứa ngáy, gãi vỡ chảy nước vàng dính.	Da sưng đỏ nổi mụn nước.|Mụn nước mọc thành đám ngứa.	Vỡ chảy dịch nước vàng dính.	Khổ sâm|Thổ phục linh|Sài đất|Kim ngân hoa|Cam thảo	Khổ sâm:7|Thổ phục linh:6|Sài đất:5|Kim ngân hoa:3|Cam thảo:2
TapSuongPhongLietMat	Táp sương phong (Liệt mặt)	3	NgoaiKhoa	Phong hàn xâm nhập kinh lạc vùng mặt, làm khí huyết bế tắc và cơ mặt mất vận động.	Sáng ngủ dậy tôi rụng rời thấy một bên mặt bị liệt đờ, miệng méo xếch sang một bên, mắt không nhắm được.	Một bên mặt liệt đờ, méo miệng.|Mắt không nhắm được.	Nếp nhăn trán biến mất.	Khương hoạt|Phòng phong|Xuyên khung|Đương quy|Bạch thược	Khương hoạt:7|Phòng phong:6|Xuyên khung:5|Đương quy:3|Bạch thược:2
